,,,,,,,,,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,,
Document #,Date,Customer,Invoice due,SKU,Product,Product additional attribute 1,Currency,Sales representative,Quantity,Amount,Tax,Total,Base currency total,Base currency tax,Base currency amount,TYPE,Lamp
IN-32328,12-Dec-23,The Red Sea Real Estate Company 1,12-Dec-2023,Ex-Factory,EX-FACTORY SHIPPING - CLIENT TO ARRANGE,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
IN-32329,13-Dec-23,Lucy Davenport,13-Dec-2023,C207-UK,TRAY MOULDED 4 W/ UK PLUG (TYPE G),C207,GBP,Online (Shopify),1,218.00,0.00,218.00,415.90,0.00,415.90,Finished Goods,Non - Lamp
IN-32329,13-Dec-23,Lucy Davenport,13-Dec-2023,Shipping - Standard International,Shipping - Standard International,,GBP,Online (Shopify),1,35.00,0.00,35.00,66.77,0.00,66.77,Service,Non - Lamp
IN-32330,13-Dec-23,Russell Waugh,13-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,18.90,1.89,20.79,20.79,1.89,18.90,Other,Non - Lamp
IN-32330,13-Dec-23,Russell Waugh,13-Dec-2023,SP-UNI-3-E-PRO,SPARE PARTS BATTERY V4 6 CELLS PRO,,AUD,Mitch Kerr,1,150.91,15.09,166.00,166.00,15.09,150.91,Spare Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,DR,DIFFUSER REPAIR,,AUD,Mitch Kerr,4,40.00,4.00,44.00,44.00,4.00,40.00,Service,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,43.89,4.39,48.28,48.28,4.39,43.89,Other,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,LCUR,LCU REPAIR,,AUD,Mitch Kerr,2,30.00,3.00,33.00,33.00,3.00,30.00,Service,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,P-UNI-3-E-1W12V,PARTS LED 1W 12V FOR PRO & ECO (2600K),,AUD,Mitch Kerr,4,76.80,7.68,84.48,84.48,7.68,76.80,Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,SA-OWL1-7-BK-01,OWL 1 BLACK TOP SUB ASSEMBLY,,AUD,Mitch Kerr,6,162.00,16.20,178.20,178.20,16.20,162.00,Sub Assembly,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,SP011,SPARE V4 PCB,,AUD,Mitch Kerr,1,92.00,9.20,101.20,101.20,9.20,92.00,Spare Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,SP012,SPARE RUBBER FEET ARC SHAPE FOR V4 V4.5 BASE,,AUD,Mitch Kerr,7,84.00,8.40,92.40,92.40,8.40,84.00,Spare Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,SP013,SPARE ON/OFF SWITCH MEMBRANE STICKER,,AUD,Mitch Kerr,8,96.00,9.60,105.60,105.60,9.60,96.00,Spare Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,SP032,SPARE COOEE REFLECTOR PLATE,,AUD,Mitch Kerr,2,22.40,2.24,24.64,24.64,2.24,22.40,Spare Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,SP-UNI-3-E-PRO,SPARE PARTS BATTERY V4 6 CELLS PRO,,AUD,Mitch Kerr,7,845.04,84.51,929.55,929.55,84.51,845.04,Spare Parts,Non - Lamp
IN-32331,05-Feb-24,SG Foodservice Pty Ltd,05-Feb-2024,TDR,"TEST, DIAGNOSE & RESET LAMP CONTROL UNIT (LCU)",,AUD,Mitch Kerr,14,140.00,14.00,154.00,154.00,14.00,140.00,Service,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,DR,DIFFUSER REPAIR,,AUD,Mitch Kerr,1,10.00,1.00,11.00,11.00,1.00,10.00,Service,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,LCUR,LCU REPAIR,,AUD,Mitch Kerr,23,345.00,34.50,379.50,379.50,34.50,345.00,Service,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,P-UNI-1-P-001,PARTS UNO BATTERY DOOR,,AUD,Mitch Kerr,1,10.40,1.04,11.44,11.44,1.04,10.40,Parts,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,P-UNI-3-E-1W3V-02,PARTS LED 1W 3.7V WARM FOR UNO (1800K),,AUD,Mitch Kerr,43,825.60,82.56,908.16,908.16,82.56,825.60,Parts,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,P-UNI-9-F-001,4 LAMP CARRY BAG,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Packaging,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,P-UNI-9-F-002,6 LAMP CARRY BAG,,AUD,Mitch Kerr,7,0.00,0.00,0.00,0.00,0.00,0.00,Packaging,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,SA-VCS-7-WH-01,VICTORIA COTTON SHADE SUB ASSEMBLY,,AUD,Mitch Kerr,43,"3,474.40",347.44,"3,821.84","3,821.84",347.44,"3,474.40",Sub Assembly,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,SP013,SPARE ON/OFF SWITCH MEMBRANE STICKER,,AUD,Mitch Kerr,21,252.00,25.20,277.20,277.20,25.20,252.00,Spare Parts,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,SP014,SPARE V4.5 PCB,,AUD,Mitch Kerr,1,92.00,9.20,101.20,101.20,9.20,92.00,Spare Parts,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Mitch Kerr,45,"1,080.00",108.00,"1,188.00","1,188.00",108.00,"1,080.00",Spare Parts,Non - Lamp
IN-32332,13-Dec-23,Merivale - Bert's Bar & Brasserie,13-Dec-2023,TDR,"TEST, DIAGNOSE & RESET LAMP CONTROL UNIT (LCU)",,AUD,Mitch Kerr,45,0.00,0.00,0.00,0.00,0.00,0.00,Service,Non - Lamp
IN-32333,13-Dec-23,Kinn Collective,13-Dec-2023,C202,BASE STATION + 15W CHARGER,C202,AUD,Mitch Kerr,1,46.00,0.00,46.00,46.00,0.00,46.00,Finished Goods,Non - Lamp
IN-32333,13-Dec-23,Kinn Collective,13-Dec-2023,CCO2CUCP,LAMP COOEE 2C COPPER UNO,CL033UC,AUD,Mitch Kerr,1,214.00,0.00,214.00,214.00,0.00,214.00,Finished Goods,Lamp
IN-32333,13-Dec-23,Kinn Collective,13-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,1,72.15,0.00,72.15,72.15,0.00,72.15,Freight,Non - Lamp
IN-32334,13-Dec-23,James Marshall,13-Dec-2023,DISC,DISCOUNT,,AUD,Online (Shopify),1,-16.53,-1.65,-18.18,-18.18,-1.65,-16.53,Service,Non - Lamp
IN-32334,13-Dec-23,James Marshall,13-Dec-2023,SGEMSUOP,SET GEM SQUARE OPAL UNO,C023UO,AUD,Online (Shopify),4,963.64,96.36,"1,060.00","1,060.00",96.36,963.64,Finished Goods,Lamp
IN-32334,13-Dec-23,James Marshall,13-Dec-2023,Shipping - Standard,Shipping - Standard,,AUD,Online (Shopify),1,16.53,1.65,18.18,18.18,1.65,16.53,Service,Non - Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,CLCPWH,LAMP LITTLE COLLINS PRO,,USD,Bim Blake,24,"4,222.32",0.00,"4,222.32","6,338.46",0.00,"6,338.46",Finished Goods,Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,COWL1UBR,LAMP OWL 1 BRASS UNO,CL008UB,USD,Bim Blake,2,312.44,0.00,312.44,469.03,0.00,469.03,Finished Goods,Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,DAP,"INTERNATIONAL AIR FREIGHT - (DAP) - Door to door Delivery (DHL) including packing, Insurance and Handling",,USD,Bim Blake,1,682.00,0.00,682.00,"1,023.80",0.00,"1,023.80",Freight,Non - Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,SA-ALP-7-BE-01,ALBERT PLEATED SILK SHADE SUB ASSEMBLY,,USD,Bim Blake,4,176.96,0.00,176.96,265.65,0.00,265.65,Sub Assembly,Non - Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,SA-ALS-7-WH-01,ALBERT  COTTON SHADE SUB ASSEMBLY,,USD,Bim Blake,16,707.84,0.00,707.84,"1,062.60",0.00,"1,062.60",Sub Assembly,Non - Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,SA-UNI-1-E-V4533B-ASS,SPARE V4.5 33 LAMP CONTROL BLACK UNO (INCL. BATTERY) FOR OWL,,USD,Bim Blake,2,184.84,0.00,184.84,277.48,0.00,277.48,Spare Parts,Non - Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,SA-VCS-7-BE-01,VICTORIA PLEATED SILK SHADE SUB ASSEMBLY,,USD,Bim Blake,16,707.84,0.00,707.84,"1,062.60",0.00,"1,062.60",Sub Assembly,Non - Lamp
IN-32335,14-Dec-23,GreenChance Inc.,14-Dec-2023,SP-UNI-3-E-PRO,SPARE PARTS BATTERY V4 6 CELLS PRO,,USD,Bim Blake,2,132.18,0.00,132.18,198.43,0.00,198.43,Spare Parts,Non - Lamp
IN-32336,14-Dec-23,Moonich GmbH,14-Dec-2023,CEGOUWH,LAMP EGG ORIGINAL UNO,CL016U,AUD,Bim Blake,2,320.00,0.00,320.00,320.00,0.00,320.00,Finished Goods,Lamp
IN-32336,14-Dec-23,Moonich GmbH,14-Dec-2023,DAP,"INTERNATIONAL AIR FREIGHT - (DAP) - Door to door Delivery (DHL) including packing, Insurance and Handling",,AUD,Bim Blake,1,254.00,0.00,254.00,254.00,0.00,254.00,Freight,Non - Lamp
IN-32336,14-Dec-23,Moonich GmbH,14-Dec-2023,P-UNI-8-E-50W,PARTS CHARGER 50W (NO AC CABLE),,AUD,Bim Blake,1,53.40,0.00,53.40,53.40,0.00,53.40,Parts,Non - Lamp
IN-32336,14-Dec-23,Moonich GmbH,14-Dec-2023,P-UNI-9-F-001,4 LAMP CARRY BAG,,AUD,Bim Blake,4,103.20,0.00,103.20,103.20,0.00,103.20,Packaging,Non - Lamp
IN-32336,14-Dec-23,Moonich GmbH,14-Dec-2023,SA-UNI-1-E-V45SWH-ASS,SPARE V4.5 Lamp Control Standard UNO (incl. Battery)  - White Base,,AUD,Bim Blake,12,"1,519.20",0.00,"1,519.20","1,519.20",0.00,"1,519.20",Spare Parts,Non - Lamp
IN-32337,14-Dec-23,LK HOSPITALITY,14-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,38.12,3.81,41.93,41.93,3.81,38.12,Other,Non - Lamp
IN-32337,14-Dec-23,LK HOSPITALITY,14-Dec-2023,SP013,SPARE ON/OFF SWITCH MEMBRANE STICKER,,AUD,Mitch Kerr,1,12.00,1.20,13.20,13.20,1.20,12.00,Spare Parts,Non - Lamp
IN-32337,14-Dec-23,LK HOSPITALITY,14-Dec-2023,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Mitch Kerr,2,48.00,4.80,52.80,52.80,4.80,48.00,Spare Parts,Non - Lamp
IN-32338,14-Dec-23,Conrad Maldives Rangali Island,14-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Bim Blake,1,548.00,0.00,548.00,548.00,0.00,548.00,Freight,Non - Lamp
IN-32338,14-Dec-23,Conrad Maldives Rangali Island,14-Dec-2023,P-UNI-3-E-1W12V,PARTS LED 1W 12V FOR PRO & ECO (2600K),,AUD,Bim Blake,50,960.00,0.00,960.00,960.00,0.00,960.00,Parts,Non - Lamp
IN-32338,14-Dec-23,Conrad Maldives Rangali Island,14-Dec-2023,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Bim Blake,50,"1,200.00",0.00,"1,200.00","1,200.00",0.00,"1,200.00",Spare Parts,Non - Lamp
IN-32338,14-Dec-23,Conrad Maldives Rangali Island,14-Dec-2023,SP-UNI-3-E-PRO,SPARE PARTS BATTERY V4 6 CELLS PRO,,AUD,Bim Blake,50,"6,036.00",0.00,"6,036.00","6,036.00",0.00,"6,036.00",Spare Parts,Non - Lamp
IN-32339,14-Dec-23,Theresa Yong,14-Dec-2023,DISC,DISCOUNT,,AUD,Online (Shopify),1,-16.53,-1.65,-18.18,-18.18,-1.65,-16.53,Service,Non - Lamp
IN-32339,14-Dec-23,Theresa Yong,14-Dec-2023,Shipping - Standard,Shipping - Standard,,AUD,Online (Shopify),1,16.53,1.65,18.18,18.18,1.65,16.53,Service,Non - Lamp
IN-32339,14-Dec-23,Theresa Yong,14-Dec-2023,SMLUAB,SET MAGILL ANTIQUE BRONZE UNO,C017UAB,AUD,Online (Shopify),2,678.18,67.82,746.00,746.00,67.82,678.18,Finished Goods,Lamp
IN-32340,14-Dec-23,Brian Shanahan,14-Dec-2023,CTC,CUSTOMER TO COLLECT,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Other,Non - Lamp
IN-32340,14-Dec-23,Brian Shanahan,14-Dec-2023,SOWL1USL,SET OWL 1 SS UNO,C008US,AUD,Mitch Kerr,3,"1,309.08",130.91,"1,439.99","1,439.99",130.91,"1,309.08",Finished Goods,Lamp
IN-32342,14-Dec-23,Wynn Design & Development,14-Dec-2023,CCO2CUBR,LAMP COOEE 2C BRASS UNO,CL033UB,AUD,Bim Blake,7,"1,635.90",0.00,"1,635.90","1,635.90",0.00,"1,635.90",Finished Goods,Lamp
IN-32342,14-Dec-23,Wynn Design & Development,14-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Bim Blake,1,148.00,0.00,148.00,148.00,0.00,148.00,Freight,Non - Lamp
IN-32343,14-Dec-23,Jennifer Douglas,14-Dec-2023,DISC,DISCOUNT,,AUD,Online (Shopify),1,-16.53,-1.65,-18.18,-18.18,-1.65,-16.53,Service,Non - Lamp
IN-32343,14-Dec-23,Jennifer Douglas,14-Dec-2023,SAPEXUSL,SET APEX SILVER,,AUD,Online (Shopify),2,798.18,79.82,878.00,878.00,79.82,798.18,Finished Goods,Lamp
IN-32343,14-Dec-23,Jennifer Douglas,14-Dec-2023,Shipping - Standard,Shipping - Standard,,AUD,Online (Shopify),1,16.53,1.65,18.18,18.18,1.65,16.53,Service,Non - Lamp
IN-32344,15-Dec-23,The Royal Atlantis Resort & Residences Fzco,15-Dec-2023,CMANGGUBR,LAMP MANHATTAN BRASS UNLACQUERED + GREEN GLASS SHADE UNO,CMANGGUBR,AUD,Mitch Kerr,1,565.00,0.00,565.00,565.00,0.00,565.00,Finished Goods,Lamp
IN-32344,15-Dec-23,The Royal Atlantis Resort & Residences Fzco,15-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,1,70.89,0.00,70.89,70.89,0.00,70.89,Freight,Non - Lamp
IN-32345,15-Dec-23,Caprice Holdings,15-Dec-2023,C203-UK,TRAY MOULDED 12 W/UK PLUG (TYPE G),C203,AUD,Mitch Kerr,6,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Non - Lamp
IN-32345,15-Dec-23,Caprice Holdings,15-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
IN-32346,15-Dec-23,Saint Peter,15-Dec-2023,C202,BASE STATION + 15W CHARGER,C202,AUD,Bim Blake,2,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Non - Lamp
IN-32346,15-Dec-23,Saint Peter,15-Dec-2023,C203-AU,TRAY MOULDED 12 W/AU PLUG (TYPE I),C203,AUD,Bim Blake,2,"1,218.00",121.80,"1,339.80","1,339.80",121.80,"1,218.00",Finished Goods,Non - Lamp
IN-32346,15-Dec-23,Saint Peter,15-Dec-2023,CCO1CUSBK,LAMP COOEE 1C SANDBLASTED BLACK UNO,CL031UBK,AUD,Bim Blake,26,"5,218.20",521.82,"5,740.02","5,740.02",521.82,"5,218.20",Finished Goods,Lamp
IN-32346,15-Dec-23,Saint Peter,15-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Bim Blake,1,90.00,9.00,99.00,99.00,9.00,90.00,Other,Non - Lamp
IN-32346,15-Dec-23,Saint Peter,15-Dec-2023,P-UNI-9-F-002,6 LAMP CARRY BAG,,AUD,Bim Blake,4,0.00,0.00,0.00,0.00,0.00,0.00,Packaging,Non - Lamp
IN-32347,15-Dec-23,Schenker Ltd,15-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,EUR,Mitch Kerr,1,450.13,0.00,450.13,738.25,0.00,738.25,Freight,Non - Lamp
IN-32348,15-Dec-23,Aparthotel Paris SCI - VAT: FR 06908629553 / EORI: FR90862955300011,15-Dec-2023,C207-EURO,TRAY MOULDED 4 W/EURO PLUG (TYPE C),C207,EUR,Mitch Kerr,1,192.44,0.00,192.44,313.41,0.00,313.41,Finished Goods,Non - Lamp
IN-32348,15-Dec-23,Aparthotel Paris SCI - VAT: FR 06908629553 / EORI: FR90862955300011,15-Dec-2023,CVCPUAB,LAMP VICTORIA AGED BRASS PLEATED SILK SHADE UNO,,EUR,Mitch Kerr,4,"1,496.00",0.00,"1,496.00","2,436.42",0.00,"2,436.42",Finished Goods,Lamp
IN-32348,15-Dec-23,Aparthotel Paris SCI - VAT: FR 06908629553 / EORI: FR90862955300011,15-Dec-2023,Ex-Factory,EX-FACTORY SHIPPING - CLIENT TO ARRANGE,,EUR,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
IN-32349,15-Dec-23,COMO The Treasury Perth,15-Dec-2023,CIR100PWH,LAMP ICE ROUND 100 PRO,,AUD,Mitch Kerr,6,"2,100.00",210.00,"2,310.00","2,310.00",210.00,"2,100.00",Finished Goods,Lamp
IN-32349,15-Dec-23,COMO The Treasury Perth,15-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,111.28,11.13,122.41,122.41,11.13,111.28,Other,Non - Lamp
IN-32350,15-Dec-23,Charlotte Barrett,15-Dec-2023,Shipping - Standard,Shipping - Standard,,AUD,Online (Shopify),1,18.18,1.82,20.00,20.00,1.82,18.18,Service,Non - Lamp
IN-32350,15-Dec-23,Charlotte Barrett,15-Dec-2023,SIR85UWH,SET ICE ROUND 85 UNO,C001U,AUD,Online (Shopify),1,328.18,32.82,361.00,361.00,32.82,328.18,Finished Goods,Lamp
IN-32351,15-Dec-23,GreenChance Inc.,15-Dec-2023,C205-US,TROLLEY LARGE MOULDED 48 W/US PLUG,C205,USD,Bim Blake,1,"1,703.82",0.00,"1,703.82","2,543.77",0.00,"2,543.77",Finished Goods,Non - Lamp
IN-32351,15-Dec-23,GreenChance Inc.,15-Dec-2023,CMANAGUBR,LAMP MANHATTAN BRASS UNLACQUERED + AMBER GLASS SHADE UNO,CMANAGUBR,USD,Bim Blake,42,"13,030.50",0.00,"13,030.50","19,454.28",0.00,"19,454.28",Finished Goods,Lamp
IN-32351,15-Dec-23,GreenChance Inc.,15-Dec-2023,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,USD,Bim Blake,1,220.00,0.00,220.00,328.46,0.00,328.46,Other,Non - Lamp
IN-32351,15-Dec-23,GreenChance Inc.,15-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Bim Blake,1,"1,730.00",0.00,"1,730.00","2,582.86",0.00,"2,582.86",Freight,Non - Lamp
IN-32352,18-Dec-23,Diana Quinones Silva,18-Dec-2023,SA-BL-4-G-003,GREEN GLASS SHADE FOR BELLINGEN/VICTORIA SUB ASSEMBLY,,AUD,Online (Shopify),1,97.27,9.73,107.00,107.00,9.73,97.27,Sub Assembly,Non - Lamp
IN-32352,18-Dec-23,Diana Quinones Silva,18-Dec-2023,Shipping - Standard,Shipping - Standard,,AUD,Online (Shopify),1,18.18,1.82,20.00,20.00,1.82,18.18,Service,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,DR,DIFFUSER REPAIR,,AUD,Mitch Kerr,12,105.00,10.50,115.50,115.50,10.50,105.00,Service,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,52.75,5.28,58.03,58.03,5.28,52.75,Other,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,LCUR,LCU REPAIR,,AUD,Mitch Kerr,3,75.00,7.50,82.50,82.50,7.50,75.00,Service,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,SA-IR85-5-CL-01,ICE ROUND 85 DIFFUSER SUB ASSEMBLY,,AUD,Mitch Kerr,12,556.80,55.68,612.48,612.48,55.68,556.80,Sub Assembly,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,SA-UNI-1-E-V45SWH-ASS,SPARE V4.5 Lamp Control Standard UNO (incl. Battery)  - White Base,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,SP014,SPARE V4.5 PCB,,AUD,Mitch Kerr,6,0.00,0.00,0.00,0.00,0.00,0.00,Spare Parts,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Mitch Kerr,21,504.00,50.40,554.40,554.40,50.40,504.00,Spare Parts,Non - Lamp
IN-32353,18-Dec-23,Bridge Street Group t/as Whalebridge,18-Dec-2023,TDR,"TEST, DIAGNOSE & RESET LAMP CONTROL UNIT (LCU)",,AUD,Mitch Kerr,24,0.00,0.00,0.00,0.00,0.00,0.00,Service,Non - Lamp
IN-32354,19-Dec-23,Amaya Concepts Pty Ltd,19-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,35.68,3.57,39.25,39.25,3.57,35.68,Other,Non - Lamp
IN-32354,19-Dec-23,Amaya Concepts Pty Ltd,19-Dec-2023,SA-EGO-5-CL-01,EGG ORIGINAL SUB ASSEMBLY,,AUD,Mitch Kerr,1,61.60,6.16,67.76,67.76,6.16,61.60,Sub Assembly,Non - Lamp
IN-32355,19-Dec-23,Steve Marchalleck,19-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Online (Shopify),1,0.00,0.00,0.00,0.00,0.00,0.00,Other,Non - Lamp
IN-32355,19-Dec-23,Steve Marchalleck,19-Dec-2023,STPUBL,SET TALL POPPY SATIN BLACK,C038UBK,AUD,Online (Shopify),2,"1,205.45",120.55,"1,326.00","1,326.00",120.55,"1,205.45",Finished Goods,Lamp
IN-32356,19-Dec-23,Hotelity,19-Dec-2023,C205-UK,TROLLEY LARGE MOULDED 48 W/UK PLUG,C205,AUD,Bim Blake,1,"2,334.00",0.00,"2,334.00","2,334.00",0.00,"2,334.00",Finished Goods,Non - Lamp
IN-32356,19-Dec-23,Hotelity,19-Dec-2023,CCO2CUCP,LAMP COOEE 2C COPPER UNO,CL033UC,AUD,Bim Blake,50,"8,850.00",0.00,"8,850.00","8,850.00",0.00,"8,850.00",Finished Goods,Lamp
IN-32356,19-Dec-23,Hotelity,19-Dec-2023,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,AUD,Bim Blake,1,220.00,0.00,220.00,220.00,0.00,220.00,Other,Non - Lamp
IN-32356,19-Dec-23,Hotelity,19-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Bim Blake,1,"2,378.00",0.00,"2,378.00","2,378.00",0.00,"2,378.00",Freight,Non - Lamp
IN-32357,19-Dec-23,A.R CHAKRA LTD,19-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
IN-32357,19-Dec-23,A.R CHAKRA LTD,19-Dec-2023,P-LIZP-4-F-004,PARTS ELIZABETH SILK PLEATED DRUM SHADE,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Parts,Non - Lamp
IN-32358,19-Dec-23,The Royce Hotel,19-Dec-2023,P-BL-4-G-001,PARTS BELLINGEN GLASS FROSTED,,AUD,Bim Blake,2,0.00,0.00,0.00,0.00,0.00,0.00,Parts,Non - Lamp
IN-32359,19-Dec-23,NEOZ,19-Dec-2023,C202,BASE STATION + 15W CHARGER,C202,AUD,Bim Blake,2,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Non - Lamp
IN-32360,19-Dec-23,The Elandra at Mission Beach,19-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Other,Non - Lamp
IN-32360,19-Dec-23,The Elandra at Mission Beach,19-Dec-2023,SA-UNI-8-E-120W-AU,SUB ASSEMBLY CHARGER 120W WITH AU PLUG,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Parts,Non - Lamp
IN-32361,19-Dec-23,Hotel Sorrento,19-Dec-2023,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mitch Kerr,1,0.00,0.00,0.00,0.00,0.00,0.00,Other,Non - Lamp
IN-32361,19-Dec-23,Hotel Sorrento,19-Dec-2023,SA-CO1C-5-M-SL-001,DIFFUSER COOEE 1C SILVER,,AUD,Mitch Kerr,3,213.60,21.36,234.96,234.96,21.36,213.60,Spare Parts,Non - Lamp
IN-32362,19-Dec-23,Troia UK (Restaurants) Ltd,19-Dec-2023,CVCPUBR,LAMP VICTORIA BRASS PLEATED SILK SHADE UNO,CL029US,AUD,Mitch Kerr,6,"2,736.00",0.00,"2,736.00","2,736.00",0.00,"2,736.00",Finished Goods,Lamp
IN-32362,19-Dec-23,Troia UK (Restaurants) Ltd,19-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,1,269.00,0.00,269.00,269.00,0.00,269.00,Freight,Non - Lamp
IN-32363,20-Dec-23,SAS Capital Private Limited ( CI4892022 ),20-Dec-2023,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mitch Kerr,1,428.00,0.00,428.00,428.00,0.00,428.00,Freight,Non - Lamp
