,,,,,,,,,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,Grand Total,,
Document #,Date,Customer,Invoice due,SKU,Product,Product additional attribute 1,Currency,Sales representative,Quantity,Amount,Tax,Total,Base currency total,Base currency tax,Base currency amount,TYPE,Lamp
CN-15632,14-Aug-23,Punch Lane,,C203-AU,TRAY MOULDED 12 W/AU PLUG (TYPE I),C203,AUD,Mandy Bishop,-1,-609.00,-60.90,-669.90,-669.90,-60.90,-609.00,Finished Goods,Non - Lamp
CN-15632,14-Aug-23,Punch Lane,,FREIGHT-AUS,FREIGHT - DOMESTIC,,AUD,Mandy Bishop,-1,-78.00,-7.80,-85.80,-85.80,-7.80,-78.00,Other,Non - Lamp
CN-15632,14-Aug-23,Punch Lane,,SA-VCS-7-BE-01,VICTORIA PLEATED SILK SHADE SUB ASSEMBLY,,AUD,Mandy Bishop,-15,"-1,142.63",-114.26,"-1,256.89","-1,256.89",-114.26,"-1,142.63",Sub Assembly,Non - Lamp
CN-15633,14-Aug-23,Atelier Lighting Ltd,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,-57.00,0.00,-57.00,-57.00,0.00,-57.00,Freight,Non - Lamp
CN-15633,14-Aug-23,Atelier Lighting Ltd,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mandy Bishop,-15,-255.00,0.00,-255.00,-255.00,0.00,-255.00,Parts,Non - Lamp
CN-15634,18-Aug-23,GreenChance Inc.,,FREIGHT-DOM,FREIGHT - INTERSTATE DOMESTIC,,USD,Andy Elysee,-1,"-1,074.63",0.00,"-1,074.63","-1,602.48",0.00,"-1,602.48",Freight,Non - Lamp
CN-15634,18-Aug-23,GreenChance Inc.,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,USD,Andy Elysee,-1,976.94,0.00,976.94,"1,456.80",0.00,"1,456.80",Freight,Non - Lamp
CN-15635,18-Aug-23,Hotelity,,C204-UK,TROLLEY SMALL MOULDED 24 W/UK PLUG,C203,AUD,Mandy Bishop,-1,"-1,236.00",0.00,"-1,236.00","-1,236.00",0.00,"-1,236.00",Finished Goods,Non - Lamp
CN-15635,18-Aug-23,Hotelity,,CBLSP,LAMP BELLINGEN SPRING UNO,CBLSP,AUD,Mandy Bishop,-25,"-8,450.00",0.00,"-8,450.00","-8,450.00",0.00,"-8,450.00",Finished Goods,Lamp
CN-15635,18-Aug-23,Hotelity,,Ex-Factory,EX-FACTORY SHIPPING - CLIENT TO ARRANGE,,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
CN-15635,18-Aug-23,Hotelity,,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,AUD,Mandy Bishop,-1,-220.00,0.00,-220.00,-220.00,0.00,-220.00,Other,Non - Lamp
CN-15637,18-Aug-23,Vert Design ,,C202,BASE STATION + 15W CHARGER,C202,AUD,Mandy Bishop,-1,-52.00,-5.20,-57.20,-57.20,-5.20,-52.00,Finished Goods,Non - Lamp
CN-15637,18-Aug-23,Vert Design ,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mandy Bishop,-3,-57.60,-5.76,-63.36,-63.36,-5.76,-57.60,Parts,Non - Lamp
CN-15637,18-Aug-23,Vert Design ,,P-UNI-6-P-001,PARTS BASE PLATE 100MM ROUND BLACK,,AUD,Mandy Bishop,-3,-24.00,-2.40,-26.40,-26.40,-2.40,-24.00,Parts,Non - Lamp
CN-15637,18-Aug-23,Vert Design ,,SP01766W,SPARE V4.5 66 LAMP CONTROL WHITE,,AUD,Mandy Bishop,-3,-446.40,-44.64,-491.04,-491.04,-44.64,-446.40,Spare Parts,Non - Lamp
CN-15637,18-Aug-23,Vert Design ,,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Mandy Bishop,-3,-63.00,-6.30,-69.30,-69.30,-6.30,-63.00,Spare Parts,Non - Lamp
CN-15638,29-Aug-23,Stanbroke,,CBLSP,LAMP BELLINGEN SPRING UNO,CBLSP,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15638,29-Aug-23,Stanbroke,,CTPUAB,LAMP TALL POPPY SATIN BRONZE,CL038UBZ,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Finished Goods,Lamp
CN-15638,29-Aug-23,Stanbroke,,SA-BL-4-G-003,GREEN GLASS SHADE FOR BELLINGEN/VICTORIA SUB ASSEMBLY,,AUD,Andy Elysee,-1,0.00,0.00,0.00,0.00,0.00,0.00,Sub Assembly,Non - Lamp
CN-15639,30-Aug-23,The Red Sea Real Estate Company 1,,C203-UK,TRAY MOULDED 12 W/UK PLUG (TYPE G),C203,AUD,Mandy Bishop,-7,"-4,049.85",0.00,"-4,049.85","-4,049.85",0.00,"-4,049.85",Finished Goods,Non - Lamp
CN-15639,30-Aug-23,The Red Sea Real Estate Company 1,,CCO1CUBR,LAMP COOEE 1C BRASS UNO,CL031UB,AUD,Mandy Bishop,-39,"-9,114.30",0.00,"-9,114.30","-9,114.30",0.00,"-9,114.30",Finished Goods,Lamp
CN-15639,30-Aug-23,The Red Sea Real Estate Company 1,,CCO2CUBR,LAMP COOEE 2C BRASS UNO,CL033UB,AUD,Mandy Bishop,-39,"-9,114.30",0.00,"-9,114.30","-9,114.30",0.00,"-9,114.30",Finished Goods,Lamp
CN-15639,30-Aug-23,The Red Sea Real Estate Company 1,,Ex-Factory,EX-FACTORY SHIPPING - CLIENT TO ARRANGE,,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
CN-15640,05-Sep-23,Carroll Design Ltd,,Ex-Factory,EX-FACTORY SHIPPING - CLIENT TO ARRANGE,,AUD,Mandy Bishop,-1,-57.00,0.00,-57.00,-57.00,0.00,-57.00,Freight,Non - Lamp
CN-15640,05-Sep-23,Carroll Design Ltd,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Mandy Bishop,-12,-230.40,0.00,-230.40,-230.40,0.00,-230.40,Parts,Non - Lamp
CN-15641,08-Sep-23,Aseel United Company ,,CoO,CERTIFICATE OF ORIGIN,,AUD,Mandy Bishop,-1,-95.00,0.00,-95.00,-95.00,0.00,-95.00,Other,Non - Lamp
CN-15641,08-Sep-23,Aseel United Company ,,COWL1UBR,LAMP OWL 1 BRASS UNO,CL008UB,AUD,Mandy Bishop,-45,"-13,455.00",0.00,"-13,455.00","-13,455.00",0.00,"-13,455.00",Finished Goods,Lamp
CN-15641,08-Sep-23,Aseel United Company ,,Ex-Factory,EX-FACTORY SHIPPING - CLIENT TO ARRANGE,,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Freight,Non - Lamp
CN-15641,08-Sep-23,Aseel United Company ,,SASO,SASO CERTIFICATE,,AUD,Mandy Bishop,-1,0.00,0.00,0.00,0.00,0.00,0.00,Other,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,C202,BASE STATION + 15W CHARGER,C202,AUD,Andy Elysee,-10,-380.00,0.00,-380.00,-380.00,0.00,-380.00,Finished Goods,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,C203-EURO,TRAY MOULDED 12 W/EURO PLUG (TYPE C),C203,AUD,Andy Elysee,-5,"-2,180.00",0.00,"-2,180.00","-2,180.00",0.00,"-2,180.00",Finished Goods,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,C207-EURO,TRAY MOULDED 4 W/EURO PLUG (TYPE C),C207,AUD,Andy Elysee,-4,-812.00,0.00,-812.00,-812.00,0.00,-812.00,Finished Goods,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,CCO2CUAB,LAMP COOEE 2C SATIN BRONZE UNO,CL033UAB,AUD,Andy Elysee,-5,-800.00,0.00,-800.00,-800.00,0.00,-800.00,Finished Goods,Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,CCO3CUBR,LAMP COOEE 3C BRASS UNO,CL035UB,AUD,Andy Elysee,-9,"-1,593.00",0.00,"-1,593.00","-1,593.00",0.00,"-1,593.00",Finished Goods,Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Andy Elysee,-1,-682.64,0.00,-682.64,-682.64,0.00,-682.64,Freight,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,P-UNI-3-E-1W3V,PARTS LED 1W 3.7V FOR UNO (2600K),,AUD,Andy Elysee,-4,-57.60,0.00,-57.60,-57.60,0.00,-57.60,Parts,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,SA-CO2C-5-M-AB-001,DIFFUSER COOEE 2C SATIN BRONZE,,AUD,Andy Elysee,-6,-320.40,0.00,-320.40,-320.40,0.00,-320.40,Spare Parts,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,SA-CO3C-5-M-CP-001,DIFFUSER COOEE 3C COPPER,,AUD,Andy Elysee,-3,-183.60,0.00,-183.60,-183.60,0.00,-183.60,Spare Parts,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,SP01766B,SPARE V4.5 66 LAMP CONTROL BLACK,,AUD,Andy Elysee,-7,-781.20,0.00,-781.20,-781.20,0.00,-781.20,Spare Parts,Non - Lamp
CN-15642,08-Sep-23,Maison de Concept Inc.,,SP-UNI-2-E-002,SPARE PARTS BATTERY UNO PANASONIC 2900MAH,,AUD,Andy Elysee,-6,-108.00,0.00,-108.00,-108.00,0.00,-108.00,Spare Parts,Non - Lamp
CN-15644,20-Sep-23,Maison de Concept Inc.,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Andy Elysee,-1,-100.00,0.00,-100.00,-100.00,0.00,-100.00,Freight,Non - Lamp
CN-15644,20-Sep-23,Maison de Concept Inc.,,SA-CO2C-5-M-AB-001,DIFFUSER COOEE 2C SATIN BRONZE,,AUD,Andy Elysee,-6,-320.40,0.00,-320.40,-320.40,0.00,-320.40,Spare Parts,Non - Lamp
CN-15645,22-Sep-23,Albus Advisory Pty Ltd,19-Sep-2023,C202-AU,BASE STATION TYPE I,,AUD,Online,-4,-261.82,-26.18,-288.00,-288.00,-26.18,-261.82,Charger,Non - Lamp
CN-15646,25-Sep-23,Interior360 General Trading LLC,,C204-UK,TROLLEY SMALL MOULDED 24 W/UK PLUG,C203,AUD,Mandy Bishop,-1,"-1,553.40",0.00,"-1,553.40","-1,553.40",0.00,"-1,553.40",Finished Goods,Non - Lamp
CN-15646,25-Sep-23,Interior360 General Trading LLC,,CTPUBL,LAMP TALL POPPY SATIN BLACK,CL038UBK,AUD,Mandy Bishop,-22,"-8,533.80",0.00,"-8,533.80","-8,533.80",0.00,"-8,533.80",Finished Goods,Lamp
CN-15646,25-Sep-23,Interior360 General Trading LLC,,Ex-Factory Production Charge for Crate,EX-FACTORY PRODUCTION CHARGE FOR CRATE,,AUD,Mandy Bishop,-1,-220.00,0.00,-220.00,-220.00,0.00,-220.00,Other,Non - Lamp
CN-15646,25-Sep-23,Interior360 General Trading LLC,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,"-1,141.00",0.00,"-1,141.00","-1,141.00",0.00,"-1,141.00",Freight,Non - Lamp
CN-15647,25-Sep-23,Interior360 General Trading LLC,,C203-UK,TRAY MOULDED 12 W/UK PLUG (TYPE G),C203,AUD,Mandy Bishop,-1,-548.10,0.00,-548.10,-548.10,0.00,-548.10,Finished Goods,Non - Lamp
CN-15647,25-Sep-23,Interior360 General Trading LLC,,CCO2CUSB,LAMP COOEE 2C SANDBLASTED BRONZE UNO,CL033UAB,AUD,Mandy Bishop,-12,"-2,408.40",0.00,"-2,408.40","-2,408.40",0.00,"-2,408.40",Finished Goods,Lamp
CN-15647,25-Sep-23,Interior360 General Trading LLC,,FREIGHT-INT,FREIGHT - INTERNATIONAL,,AUD,Mandy Bishop,-1,-405.00,0.00,-405.00,-405.00,0.00,-405.00,Freight,Non - Lamp
